(7.87e-6, 7.94e-6, 5.00e-5)	(-1.593475733956781e-5, 2.8769652049432168e-8, -1.465298993163376e-22)	-9.887012020780054e-3
(7.87e-6, 2.38e-5, 5.00e-5)	(-4.6195452633844747e-5, 7.83748337748975e-8, 4.504693775455708e-21)	-9.888446329645337e-3
(7.87e-6, 3.97e-5, 5.00e-5)	(-7.510242212706102e-5, 1.0479351469642759e-7, 4.727256485422371e-21)	-9.889884139326042e-3
(7.87e-6, 5.56e-5, 5.00e-5)	(-1.027312826743819e-4, 1.2015782054791884e-7, 2.021791920457411e-21)	-9.890666799820617e-3
(7.87e-6, 7.14e-5, 5.00e-5)	(-1.2910452572282598e-4, 1.3324333185979237e-7, 5.4844853432637885e-21)	-9.891141933953285e-3
(7.87e-6, 8.73e-5, 5.00e-5)	(-1.542290307348627e-4, 1.465700973559903e-7, 1.0223302076959211e-20)	-9.891446765630214e-3
(7.87e-6, 1.03e-4, 5.00e-5)	(-1.7810687115119464e-4, 1.6109733283178515e-7, 1.502334133557539e-20)	-9.891669070674607e-3
(7.87e-6, 1.19e-4, 5.00e-5)	(-2.0073863348478167e-4, 1.7701406502721977e-7, 1.677846737330135e-20)	-9.891845070371531e-3
(7.87e-6, 1.35e-4, 5.00e-5)	(-2.2212441146955282e-4, 1.9430229783081775e-7, 1.7093792416426664e-20)	-9.891993240230604e-3
(7.87e-6, 1.51e-4, 5.00e-5)	(-2.4226413386262198e-4, 2.1287318053196008e-7, 2.3771085156570232e-20)	-9.892122785651075e-3
(7.87e-6, 1.67e-4, 5.00e-5)	(-2.611576743111619e-4, 2.326292478266786e-7, 2.2608307160633806e-20)	-9.89223906599191e-3
(7.87e-6, 1.83e-4, 5.00e-5)	(-2.7880489311150463e-4, 2.534799152605129e-7, 2.5561449343375487e-20)	-9.892345455026116e-3
(7.87e-6, 1.98e-4, 5.00e-5)	(-2.952056535512815e-4, 2.753464063509179e-7, 2.5717689015686608e-20)	-9.892444278378104e-3
(7.87e-6, 2.14e-4, 5.00e-5)	(-3.103598286446002e-4, 2.98161827292379e-7, 2.9050540020084384e-20)	-9.892537262266297e-3
(7.87e-6, 2.30e-4, 5.00e-5)	(-3.24267303714122e-4, 3.2187014280913224e-7, 3.1276270853402884e-20)	-9.892625719820499e-3
(7.87e-6, 2.46e-4, 5.00e-5)	(-3.3692797696864503e-4, 3.46424888377392e-7, 3.036780516777335e-20)	-9.892710743437165e-3
(7.87e-6, 2.62e-4, 5.00e-5)	(-3.4834175946254895e-4, 3.717879822127251e-7, 2.846242157725449e-20)	-9.892793193416566e-3
(7.87e-6, 2.78e-4, 5.00e-5)	(-3.5850857433141305e-4, 3.979286952049544e-7, 2.6245246453953514e-20)	-9.892873875249016e-3
(7.87e-6, 2.94e-4, 5.00e-5)	(-3.674283564524425e-4, 4.2482284083264074e-7, 2.1997469925703075e-20)	-9.892953408705248e-3
(7.87e-6, 3.10e-4, 5.00e-5)	(-3.751010513871126e-4, 4.52452084953452e-7, 1.7847127262293138e-20)	-9.893032468031481e-3
(7.87e-6, 3.25e-4, 5.00e-5)	(-3.8152661535772255e-4, 4.808034521019179e-7, 1.472687798432698e-20)	-9.893111537362567e-3
(7.87e-6, 3.41e-4, 5.00e-5)	(-3.867050141551759e-4, 5.098689011096826e-7, 1.531878950390081e-20)	-9.893191236749596e-3
(7.87e-6, 3.57e-4, 5.00e-5)	(-3.906362235512603e-4, 5.396450623471166e-7, 1.4293979177390353e-20)	-9.89327198573169e-3
(7.87e-6, 3.73e-4, 5.00e-5)	(-3.933202283172695e-4, 5.701329557160732e-7, 2.767763366642205e-20)	-9.893354388010436e-3
(7.87e-6, 3.89e-4, 5.00e-5)	(-3.947570230090702e-4, 6.013381650139096e-7, -1.1967181805848632e-20)	-9.893438845947487e-3
(7.87e-6, 4.05e-4, 5.00e-5)	(-3.9494661048559293e-4, 6.33269897103882e-7, -9.480161321188286e-21)	-9.893526028309226e-3
(7.87e-6, 4.21e-4, 5.00e-5)	(-3.938890092673048e-4, 6.659419393590382e-7, -7.334086322742465e-21)	-9.893616295804285e-3
(7.87e-6, 4.37e-4, 5.00e-5)	(-3.9158424240850787e-4, 6.993728436649361e-7, 3.7428273603576152e-22)	-9.893710329709576e-3
(7.87e-6, 4.52e-4, 5.00e-5)	(-3.880323448430057e-4, 7.335849124938042e-7, 7.505785821419405e-21)	-9.893808674894968e-3
(7.87e-6, 4.68e-4, 5.00e-5)	(-3.8323336312436556e-4, 7.686052317891467e-7, 9.399561629547046e-21)	-9.89391201054873e-3
(7.87e-6, 4.84e-4, 5.00e-5)	(-3.771873568451432e-4, 8.044655713859659e-7, 1.0188640996178369e-20)	-9.894021013990425e-3
(7.87e-6, 5.00e-4, 5.00e-5)	(-3.6989439996872525e-4, 8.412027294566895e-7, 1.2521038115066898e-20)	-9.894136469545577e-3
(7.87e-6, 5.16e-4, 5.00e-5)	(-3.613545828094009e-4, 8.788587927473153e-7, 1.5773441747086715e-20)	-9.89425921745431e-3
(7.87e-6, 5.32e-4, 5.00e-5)	(-3.515680143677203e-4, 9.174815004677999e-7, 1.40533539741965e-20)	-9.894390215087303e-3
(7.87e-6, 5.48e-4, 5.00e-5)	(-3.40534825352895e-4, 9.571246339645204e-7, 7.633028718312615e-21)	-9.894530528085217e-3
(7.87e-6, 5.63e-4, 5.00e-5)	(-3.2825517197385975e-4, 9.978484483517423e-7, -8.752895147626843e-21)	-9.894681375086286e-3
(7.87e-6, 5.79e-4, 5.00e-5)	(-3.147292407383425e-4, 1.0397201512322254e-6, -4.315362485403683e-21)	-9.89484414741645e-3
(7.87e-6, 5.95e-4, 5.00e-5)	(-2.999572546110256e-4, 1.082814373762929e-6, 4.4030833109309e-20)	-9.895020457676445e-3
(7.87e-6, 6.11e-4, 5.00e-5)	(-2.839394809011036e-4, 1.1272136640116819e-6, 2.7219669765900314e-20)	-9.895212188514529e-3
(7.87e-6, 6.27e-4, 5.00e-5)	(-2.666762415687537e-4, 1.173008878744277e-6, 1.1469871484038646e-20)	-9.895421566734598e-3
(7.87e-6, 6.43e-4, 5.00e-5)	(-2.4816792675179936e-4, 1.2202994732383893e-6, 5.058003304414515e-20)	-9.8956512595366e-3
(7.87e-6, 6.59e-4, 5.00e-5)	(-2.284150128709284e-4, 1.2691934376800718e-6, 3.3962994247394324e-20)	-9.89590451402776e-3
(7.87e-6, 6.75e-4, 5.00e-5)	(-2.074180871866808e-4, 1.3198067162653984e-6, 2.1325703856389588e-20)	-9.896185359791018e-3
(7.87e-6, 6.90e-4, 5.00e-5)	(-1.8517788183152698e-4, 1.372261453748212e-6, 5.274332350217323e-20)	-9.896498923719112e-3
(7.87e-6, 7.06e-4, 5.00e-5)	(-1.61695322118938e-4, 1.4266822571042415e-6, 4.123458613079404e-20)	-9.89685193316585e-3
(7.87e-6, 7.22e-4, 5.00e-5)	(-1.369715972200368e-4, 1.4831878646470532e-6, 4.8851962392474106e-20)	-9.897253615596326e-3
(7.87e-6, 7.38e-4, 5.00e-5)	(-1.1100826852952311e-4, 1.5418745841041594e-6, 1.0109960632720684e-19)	-9.8977172696644e-3
(7.87e-6, 7.54e-4, 5.00e-5)	(-8.380744533999342e-5, 1.602775681797676e-6, -2.355855259952023e-21)	-9.898263733947262e-3
(7.87e-6, 7.70e-4, 5.00e-5)	(-5.5372102139953306e-5, 1.6657815691906696e-6, 4.0253299870651004e-20)	-9.8989273268135e-3
(7.87e-6, 7.86e-4, 5.00e-5)	(-2.5706708212735138e-5, 1.7303981712784714e-6, 6.241585688455482e-20)	-9.899772836806714e-3
