(6.25e-5, 7.94e-6, 5.00e-5)	(-1.7656253932708932e-6, -5.889198944282046e-3, 9.641111287864356e-19)	1.0942137263990746e1
(6.25e-5, 2.38e-5, 5.00e-5)	(-4.308538268108075e-6, -1.684199619573411e-2, 2.8613555921923184e-18)	1.1491968917626425e1
(6.25e-5, 3.97e-5, 5.00e-5)	(-3.671944091136167e-8, -2.6293180250101602e-2, 5.65238180800988e-18)	1.1970989577322863e1
(6.25e-5, 5.56e-5, 5.00e-5)	(2.3288614555217535e-6, -3.4406348410182926e-2, 5.664143988722981e-18)	1.2460742456597101e1
(6.25e-5, 7.14e-5, 5.00e-5)	(2.2219698707193015e-6, -4.124531615985403e-2, 8.307028116948118e-18)	1.2934730273006211e1
(6.25e-5, 8.73e-5, 5.00e-5)	(9.69153987827795e-7, -4.691769544402832e-2, 1.110761772345015e-17)	1.3384035815603793e1
(6.25e-5, 1.03e-4, 5.00e-5)	(3.173912582370995e-8, -5.154157214830962e-2, 1.2473487405205794e-17)	1.3804150918130143e1
(6.25e-5, 1.19e-4, 5.00e-5)	(-5.57545181498613e-7, -5.522364199059203e-2, 1.406342861071691e-17)	1.4201152793046035e1
(6.25e-5, 1.35e-4, 5.00e-5)	(-8.925098953119858e-7, -5.8048675168574385e-2, 1.587123943354844e-17)	1.457823241092363e1
(6.25e-5, 1.51e-4, 5.00e-5)	(-1.1007839073497635e-6, -6.0081084519229624e-2, 1.622665810986366e-17)	1.494117140853894e1
(6.25e-5, 1.67e-4, 5.00e-5)	(-6.303019256350861e-8, -6.1404195840685225e-2, 1.51307593212791e-17)	1.5268798806468556e1
(6.25e-5, 1.83e-4, 5.00e-5)	(6.618357141157421e-7, -6.2095290759664225e-2, 1.4223353657357876e-17)	1.5583375320969587e1
(6.25e-5, 1.98e-4, 5.00e-5)	(6.437718644844547e-7, -6.219379236805568e-2, 1.1978515780846227e-17)	1.588451442619587e1
