(6.25e-5, 7.94e-6, 5.00e-5)	(1.7967498e1, -1.9133615e-1, -4.8572257e-15, 1.1591651e1, -7.1603261e2, 4.9737992e-14, -3.8990887e-15, 1.2050220e-13, -9.4663309e-30, )	(1.4570376e3, 1.7319696e4, 1.7319696e4, )
(6.25e-5, 2.38e-5, 5.00e-5)	(5.2221591e1, 5.4460535e-2, -1.4113710e-14, 3.2599307e1, -6.4272538e2, -5.6843419e-14, -9.2061901e-15, 1.4768052e-13, 2.5243549e-29, )	(4.3129894e3, 3.2408846e4, 3.2408846e4, )
(6.25e-5, 3.97e-5, 5.00e-5)	(8.4850922e1, 2.0907808e-1, -2.2967259e-14, 4.9700883e1, -5.5327707e2, -1.3300625e-14, -2.1707504e-14, 8.8287830e-14, -6.3728181e-30, )	(6.7502454e3, 3.0516365e4, 3.0516365e4, )
(6.25e-5, 5.56e-5, 5.00e-5)	(1.1598706e2, 7.1148710e-2, -3.1443598e-14, 6.3440962e1, -4.7099226e2, -5.6843419e-14, -2.6945684e-14, 8.3621355e-14, 2.5243549e-29, )	(9.2298946e3, 3.0357830e4, 3.0357830e4, )
(6.25e-5, 7.14e-5, 5.00e-5)	(1.4569305e2, -4.2830783e-2, -3.9489245e-14, 7.4124457e1, -3.9410741e2, -5.6843419e-14, -3.9592907e-14, 1.7146941e-13, 2.5243549e-29, )	(1.1632697e4, 2.9083739e4, 2.9083739e4, )
(6.25e-5, 8.73e-5, 5.00e-5)	(1.7401092e2, -6.8992265e-2, -4.7174070e-14, 8.2188099e1, -3.2433205e2, 5.6843419e-14, -6.0438724e-14, 1.3124346e-13, 0.0000000e0, )	(1.3927128e4, 2.7386749e4, 2.7386749e4, )
(6.25e-5, 1.03e-4, 5.00e-5)	(2.0097803e2, -4.8091022e-2, -5.4483219e-14, 8.8078664e1, -2.6163730e2, 0.0000000e0, -5.6247883e-14, 9.3108039e-14, 2.5243549e-29, )	(1.6085149e4, 2.5739184e4, 2.5739184e4, )
(6.25e-5, 1.19e-4, 5.00e-5)	(2.2663735e2, -2.9113843e-2, -6.1430895e-14, 9.2173043e1, -2.0497374e2, 0.0000000e0, -5.3321501e-14, 1.0702918e-13, 0.0000000e0, )	(1.8136035e4, 2.4383566e4, 2.4383566e4, )
(6.25e-5, 1.35e-4, 5.00e-5)	(2.5102940e2, -1.7112019e-2, -6.8039324e-14, 9.4744693e1, -1.5300943e2, 1.1368684e-13, -5.7387231e-14, 6.8141726e-14, -2.5243549e-29, )	(2.0084867e4, 2.3310585e4, 2.3310585e4, )
(6.25e-5, 1.51e-4, 5.00e-5)	(2.7418980e2, 2.6128609e-2, -7.4317288e-14, 9.5973333e1, -1.0569890e2, 1.1368684e-13, -5.6061894e-14, -2.3325122e-14, -2.5243549e-29, )	(2.1959913e4, 2.1752840e4, 2.1752840e4, )
(6.25e-5, 1.67e-4, 5.00e-5)	(2.9614130e2, 5.5522515e-2, -8.0269233e-14, 9.6129458e1, -6.3447494e1, 0.0000000e0, -4.7622649e-14, -6.3104087e-14, 0.0000000e0, )	(2.3685094e4, 2.0229422e4, 2.0229422e4, )
(6.25e-5, 1.83e-4, 5.00e-5)	(3.1692639e2, 2.2264264e-2, -8.5904374e-14, 9.5453757e1, -2.4872289e1, 1.1368684e-13, -8.4251658e-14, -9.9295667e-14, 0.0000000e0, )	(2.5339365e4, 1.9395041e4, 1.9395041e4, )
(6.25e-5, 1.98e-4, 5.00e-5)	(3.3657614e2, -1.4583495e-2, -9.1229678e-14, 9.4013493e1, 1.1131291e1, -4.3079602e-15, -7.4118571e-14, -1.2518788e-13, 1.9359163e-29, )	(2.6917618e4, 1.8444260e4, 1.8444260e4, )
(6.25e-5, 2.14e-4, 5.00e-5)	(3.5511224e2, -2.5204825e-2, -9.6247295e-14, 9.1887607e1, 4.4291005e1, -1.1839843e-13, -6.5456743e-14, -9.4228467e-14, 3.3383141e-29, )	(2.8410757e4, 1.7320915e4, 1.7320915e4, )
(6.25e-5, 2.30e-4, 5.00e-5)	(3.7255316e2, -1.6243433e-2, -1.0097469e-13, 8.9181634e1, 7.4453290e1, 6.1663975e-14, -4.0932690e-14, -1.3792129e-13, 1.7166594e-29, )	(2.9808118e4, 1.6169419e4, 1.6169419e4, )
(6.25e-5, 2.46e-4, 5.00e-5)	(3.8891752e2, -1.3116232e-3, -1.0541649e-13, 8.6001216e1, 1.0178691e2, -8.2413107e-15, -3.2647747e-14, -1.8695376e-13, 8.7409537e-30, )	(3.1118941e4, 1.5066622e4, 1.5066622e4, )
(6.25e-5, 2.62e-4, 5.00e-5)	(4.0422421e2, 1.1463541e-2, -1.0956477e-13, 8.2436331e1, 1.2647626e2, 1.0246113e-13, -2.5244231e-14, -2.2279891e-13, 2.2428608e-31, )	(3.2340444e4, 1.3962254e4, 1.3962254e4, )
(6.25e-5, 2.78e-4, 5.00e-5)	(4.1849261e2, 9.5254406e-3, -1.1343265e-13, 7.8573773e1, 1.4918800e2, 0.0000000e0, -1.2798477e-14, -2.6631064e-13, 3.1554436e-30, )	(3.3475679e4, 1.3225759e4, 1.3225759e4, )
(6.25e-5, 2.94e-4, 5.00e-5)	(4.3174288e2, 7.4313792e-4, -1.1702117e-13, 7.4375505e1, 1.7064147e2, -1.6604797e-12, -6.5123685e-15, 6.8457613e-13, 2.5918721e-28, )	(3.4537625e4, 1.2525278e4, 1.2525278e4, )
(6.25e-5, 3.10e-4, 5.00e-5)	(4.4398133e2, -1.4702003e-3, -1.2034453e-13, 6.9793631e1, 1.9045469e2, 1.8442415e-12, -1.9125259e-13, 6.6363583e-13, -2.5100845e-28, )	(3.5518914e4, 1.1490659e4, 1.1490659e4, )
(6.25e-5, 3.25e-4, 5.00e-5)	(4.5521449e2, -2.0564586e-3, -1.2338615e-13, 6.4891308e1, 2.0824333e2, 2.6992894e-14, -1.6351948e-13, -2.8291259e-13, 3.5596252e-29, )	(3.6416378e4, 1.0491198e4, 1.0491198e4, )
(6.25e-5, 3.41e-4, 5.00e-5)	(4.6544914e2, -2.1388703e-3, -1.2615972e-13, 5.9717703e1, 2.2416163e2, -1.7053026e-13, -1.3870637e-13, -2.4169946e-13, 1.5146129e-28, )	(3.7236656e4, 9.5062952e3, 9.5062952e3, )
(6.25e-5, 3.57e-4, 5.00e-5)	(4.7469107e2, -1.7266432e-3, -1.2866538e-13, 5.4314599e1, 2.3832166e2, 5.6843419e-14, -1.5471957e-13, -2.5736067e-13, 6.3108872e-29, )	(3.7974816e4, 8.5373280e3, 8.5373280e3, )
(6.25e-5, 3.73e-4, 5.00e-5)	(4.8294600e2, -3.9518950e-4, -1.3090237e-13, 4.8715893e1, 2.5078297e2, 1.1401833e-12, -6.4827181e-14, -1.2396057e-12, 4.2009616e-28, )	(3.8636984e4, 7.5558720e3, 7.5558720e3, )
(6.25e-5, 3.89e-4, 5.00e-5)	(4.9021837e2, 8.4840955e-4, -1.3287520e-13, 4.2957626e1, 2.6158752e2, -1.1239388e-12, 1.4811199e-13, -1.1630120e-12, -5.5292454e-28, )	(3.9216945e4, 6.5848586e3, 6.5848586e3, )
(6.25e-5, 4.05e-4, 5.00e-5)	(4.9651336e2, 9.7143412e-4, -2.6916066e-13, 3.7070812e1, 2.7083800e2, -8.1951654e-13, 1.5206132e-13, 8.0092936e-13, -8.2799276e-28, )	(3.9721667e4, 5.6451182e3, 5.6451182e3, )
(6.25e-5, 4.21e-4, 5.00e-5)	(5.0183474e2, 1.0355998e-3, -1.3602230e-13, 3.1075673e1, 2.7860112e2, 7.9580786e-13, -3.9881771e-14, 8.4450526e-13, 6.6895405e-28, )	(4.0146218e4, 4.6972589e3, 4.6972589e3, )
